epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,302.633,1.05057,3.63222,2.69561,0.00123,5.52671,0.76442,0.74629,0.80688,0.5762,0.76848,0.74624,0.80845,0.47752,0.91283,2.0164,1.73146,0.00118,0,0.000661111,0.000661111,0.000661111
2,339.758,1.06979,1.99185,1.69154,0.00124,4.78911,0.70155,0.7502,0.77106,0.57063,0.69567,0.75332,0.76476,0.43745,0.89785,1.66745,1.48959,0.00114,0,0.00131463,0.00131463,0.00131463
3,372.233,1.05522,1.69064,1.43912,0.00124,4.45611,0.68559,0.74278,0.74537,0.54068,0.68527,0.74788,0.74405,0.46528,0.94651,1.34388,1.3413,0.00123,0,0.00195495,0.00195495,0.00195495
4,1255.38,1.05654,1.63865,1.23903,0.00118,4.08564,0.73476,0.7796,0.8122,0.61755,0.73391,0.77752,0.80925,0.49717,0.84727,1.43175,1.0769,0.00109,0,0.0019406,0.0019406,0.0019406
5,1286.12,1.09113,1.57335,1.13357,0.00127,3.71038,0.75429,0.78884,0.8311,0.62708,0.7561,0.78767,0.82765,0.53765,0.88126,1.30462,0.91983,0.00114,0,0.0019208,0.0019208,0.0019208
6,1327.41,1.03396,1.46596,1.00826,0.00114,3.37559,0.74948,0.79586,0.83356,0.62547,0.75447,0.79391,0.83219,0.52046,0.89267,1.27343,0.85634,0.00115,0,0.001901,0.001901,0.001901
7,1358.31,0.97899,1.41149,0.9658,0.00111,2.97728,0.75869,0.79977,0.84232,0.65007,0.7594,0.79829,0.83571,0.54636,0.82298,1.19297,0.75263,0.00103,0,0.0018812,0.0018812,0.0018812
8,1388.56,0.96114,1.44877,0.90044,0.00113,2.55901,0.78308,0.80055,0.8517,0.63393,0.78453,0.80172,0.84946,0.51292,0.88701,1.35381,0.7645,0.00111,0,0.0018614,0.0018614,0.0018614
9,1434.8,0.98056,1.41991,0.83067,0.00111,2.12818,0.78804,0.81701,0.8648,0.65655,0.78764,0.81382,0.86034,0.55869,0.83129,1.22395,0.69115,0.00106,0,0.0018416,0.0018416,0.0018416
10,1468.08,0.96895,1.38527,0.77614,0.00106,1.70632,0.80948,0.82904,0.88302,0.67902,0.81355,0.82769,0.87882,0.5575,0.8384,1.44611,0.68676,0.00108,0,0.0018218,0.0018218,0.0018218
11,1499.07,0.98165,1.40372,0.76749,0.00115,1.3234,0.81688,0.85145,0.89522,0.67598,0.81464,0.84911,0.88641,0.63573,0.87106,1.2117,0.61338,0.00111,0,0.001802,0.001802,0.001802
